Date,U.S. Natural Gas Gross Withdrawals (MMcf),Alaska Natural Gas Gross Withdrawals (MMcf),Arkansas Natural Gas Gross Withdrawals (MMcf),California Natural Gas Gross Withdrawals (MMcf),Colorado Natural Gas Gross Withdrawals (MMcf),Federal Offshore--Gulf of Mexico Natural Gas Gross Withdrawals (MMcf),Kansas Natural Gas Gross Withdrawals (MMcf),Louisiana Natural Gas Gross Withdrawals (MMcf),Montana Natural Gas Gross Withdrawals (MMcf),New Mexico Natural Gas Gross Withdrawals (MMcf),North Dakota Natural Gas Gross Withdrawals (MMcf),Ohio Natural Gas Gross Withdrawals (MMcf),Oklahoma Natural Gas Gross Withdrawals (MMcf),Pennsylvania Natural Gas Gross Withdrawals (MMcf),Texas Natural Gas Gross Withdrawals (MMcf),Utah Natural Gas Gross Withdrawals (MMcf),West Virginia Natural Gas Gross Withdrawals (MMcf),Wyoming Natural Gas Gross Withdrawals (MMcf)
01/01/1994,2022627,268574,17082,34930,39207,,70958,441368,4998,130793,5466,11722,171629,10523,577140,28316,16294,91580
01/02/1994,1815466,239920,15309,31184,35941,,61850,402280,4529,121891,5014,10468,153271,9428,526756,28226,15623,81686
01/03/1994,2028595,269535,16624,33733,38103,,64259,436425,4625,133334,5459,11280,165150,10227,593034,30799,15772,89771
01/04/1994,1924133,248381,15911,32303,38734,,57135,423914,4439,128118,5418,10818,158384,9826,573725,29630,14695,92679
01/05/1994,1983962,250838,16144,32638,41588,,58396,438127,4132,134175,5580,10895,159521,9967,589005,29997,14859,89438
01/06/1994,1881268,225763,15500,31349,36686,,55207,420754,3399,127092,5282,10456,153088,9581,573948,28579,15027,81840
01/07/1994,1942942,226822,15917,31916,38457,,55134,434335,3440,128736,5365,10618,155458,9813,597196,29370,14722,89362
01/08/1994,1970795,243652,15953,31971,39010,,53046,435920,3797,134315,5271,10621,155505,9830,595742,30013,15198,96092
01/09/1994,1877710,237312,15683,31536,39176,,49506,411131,3970,130437,4982,10472,153321,9663,563076,28336,15077,87603
01/10/1994,1981888,277488,16785,34118,40396,,56586,428858,4512,135442,5325,11406,167006,10353,568696,28414,15588,90935
01/11/1994,2035684,290954,16856,34242,39810,,62930,462108,4533,136403,5086,11428,167314,10401,569968,27656,14579,89240
01/12/1994,2115634,306660,17648,35834,39922,,69654,490877,4698,141061,4984,11967,175216,10895,583419,27683,16338,90636
01/01/1995,2043131,293221,17078,33825,49002,,64385,441789,4965,135680,4914,11206,160707,9693,576206,27546,16512,100479
01/02/1995,1821998,262194,15305,30198,43073,,60800,390626,4316,126422,4461,10008,143517,8684,522018,25887,15832,83712
01/03/1995,2025808,295252,16621,32666,47698,,59543,421704,4752,138319,5009,10783,154640,9421,585078,29521,15983,94527
01/04/1995,1944500,271958,15908,31282,46006,,59716,415676,4417,132959,4730,10342,148305,9050,568598,28400,14892,94125
01/05/1995,1996735,274472,16140,31606,46753,,61806,437500,4186,139198,4857,10416,149369,9181,586032,26636,15058,90777
01/06/1995,1910423,246902,15496,30358,44730,,58845,416802,3459,131949,4770,9996,143346,8825,572868,21539,15228,87016
01/07/1995,1960252,246629,15913,30907,44123,,59992,437583,3537,133592,4333,10151,145565,9039,591609,23180,14919,91052
01/08/1995,1964637,266320,15950,30960,44199,,58610,425397,3619,139356,4854,10154,145609,9054,587481,23550,15401,89264
01/09/1995,1914391,258532,15680,30538,42633,,53901,427136,3777,135269,4711,10011,143565,8901,565874,23892,15278,87351
01/10/1995,1988496,303310,16781,33039,46478,,58902,406366,4395,140567,4828,10905,156378,9537,570649,22666,15796,94532
01/11/1995,2045375,317059,16852,33159,46491,,60856,457137,4610,141362,4579,10925,156667,9580,566785,23901,14774,92177
01/12/1995,2127881,334056,17644,34701,38446,,66034,485064,4731,146204,4628,11441,164066,10035,579458,26516,16557,95100
